,level_0,src,dst,index
0,481,accept,group,3
1,482,access,access,3
2,483,access,cameroon,1
3,484,access,group,1
4,0,acknowledge,anglophone,2
5,1,acknowledge,biya,2
6,2,acknowledge,cameroon,2
7,3,acknowledge,crisis,6
8,4,acknowledge,power,1
9,5,acknowledge,region,2
10,6,acknowledge,security,2
11,70,add,conflict,2
12,71,add,party,1
13,72,add,region,1
14,73,add,statement,2
15,216,affect,action,2
16,552,affect,area,5
17,569,affect,area,1
18,553,affect,assessment,1
19,570,affect,communication,4
20,217,affect,conflict,6
21,218,affect,decade,1
22,554,affect,disobedience,1
23,571,affect,frustration,1
24,219,affect,issue,3
25,555,affect,people,4
26,572,affect,people,2
27,220,affect,region,1
28,573,affect,shutdown,2
29,665,afp,become,8
30,666,afp,continue,1
31,667,afp,decide,1
32,668,afp,engrave,1
33,669,afp,find,1
34,670,afp,grow,2
35,671,afp,strengthen,1
36,574,africa,affect,5
37,388,africa,control,1
38,575,africa,explain,1
39,576,africa,fight,1
40,577,africa,gain,1
41,578,africa,lead,1
42,7,africa,need,1
43,389,africa,restrict,1
44,221,agency,affect,2
45,222,agency,concentrate,1
46,223,agency,need,2
47,224,agency,rely,1
48,556,aim,preparedness,1
49,91,allege,case,1
50,92,allege,charge,1
51,93,allege,reconsideration,1
52,94,allege,sheck,2
53,445,ambasos,argue,3
54,446,ambasos,keme,1
55,447,ambasos,pose,1
56,448,ambasos,take,4
57,122,anglophone,conflict,2
58,123,appear,civilian,1
59,124,appear,conflict,6
60,125,appear,country,3
61,126,appear,crisis,2
62,127,appear,group,4
63,128,appear,need,2
64,449,argue,academia,1
65,450,argue,address,1
66,451,argue,cyberspace,1
67,452,argue,explorer,1
68,453,argue,practice,1
69,454,argue,refuge,1
70,455,argue,second,2
71,456,argue,state,2
72,74,association,cameroon,1
73,75,association,say,2
74,252,atanga,call,2
75,253,atanga,cost,1
76,254,atanga,go,1
77,255,atanga,invite,2
78,256,atanga,read,4
79,257,atanga,say,2
80,8,attempt,anglophone,1
81,9,attempt,cameroon,2
82,737,bako,say,2
83,704,bamenda,become,6
84,705,bamenda,defy,1
85,706,bamenda,deny,2
86,707,bamenda,deploy,1
87,708,bamenda,fear,1
88,709,bamenda,militarise,2
89,710,bamenda,read,10
90,642,bank,refer,1
91,180,bare,become,1
92,181,bare,know,1
93,711,bbc,deploy,1
94,182,become,cameroon,2
95,672,become,cameroon,1
96,712,become,child,1
97,713,become,conflict,3
98,673,become,country,1
99,674,become,crisis,2
100,183,become,group,1
101,714,become,lockdown,1
102,675,become,part,2
103,184,become,people,1
104,676,become,people,3
105,677,become,practice,1
106,185,become,region,2
107,715,become,region,1
108,643,become,side,1
109,258,begin,cameroon,1
110,318,begin,conflict,1
111,10,biya,acknowledge,2
112,259,biya,begin,1
113,260,biya,call,1
114,738,biya,call,1
115,809,biya,call,1
116,261,biya,cladin,1
117,787,biya,hold,2
118,810,biya,keep,4
119,811,biya,kill,2
120,812,biya,look,3
121,11,biya,need,2
122,813,biya,rage,1
123,262,biya,read,6
124,814,biya,realise,4
125,788,biya,refer,5
126,815,biya,rule,1
127,186,biya,say,1
128,263,biya,say,3
129,335,biya,say,3
130,816,biya,see,1
131,336,biya,shun,3
132,337,blaise,call,1
133,338,blaise,say,3
134,339,blaise,tell,1
135,22,bough,identify,6
136,23,bough,prohibit,2
137,24,bough,say,6
138,25,bough,see,1
139,26,bough,use,3
140,579,britain,affect,1
141,580,britain,conduct,1
142,581,britain,explain,1
143,582,britain,gain,1
144,583,britain,take,1
145,457,british,argue,1
146,458,browse,academia,1
147,716,bush,cover,1
148,717,bush,defy,1
149,718,bush,read,1
150,95,butler,say,1
151,340,call,country,1
152,817,call,criticism,1
153,264,call,dialogue,2
154,739,call,leader,2
155,818,call,power,1
156,341,call,region,1
157,265,call,solve,1
158,342,call,talk,1
159,819,call,term,1
160,225,cameroon,affect,5
161,459,cameroon,argue,1
162,523,cameroon,confirm,2
163,76,cameroon,conflict,3
164,286,cameroon,conflict,1
165,524,cameroon,continue,1
166,525,cameroon,declare,1
167,143,cameroon,display,2
168,365,cameroon,explore,3
169,226,cameroon,find,1
170,789,cameroon,force,1
171,144,cameroon,get,1
172,287,cameroon,group,1
173,366,cameroon,include,2
174,790,cameroon,join,2
175,227,cameroon,leave,1
176,77,cameroon,meeting,1
177,228,cameroon,need,1
178,367,cameroon,neglect,1
179,526,cameroon,note,3
180,288,cameroon,plan,1
181,145,cameroon,provide,3
182,791,cameroon,refer,14
183,146,cameroon,say,2
184,78,cameroon,statement,1
185,460,cameroon,take,1
186,740,cameroons,open,3
187,741,cameroons,say,3
188,187,cameroun,become,2
189,188,cameroun,come,2
190,189,cameroun,know,3
191,190,cameroun,say,3
192,191,cameroun,shoot,3
193,644,carry,cameroon,1
194,645,cause,cameroon,3
195,646,cause,country,1
196,368,cfr,include,5
197,266,cladin,capital,1
198,369,collect,interview,1
199,370,collectif,collect,1
200,371,collectif,explore,4
201,372,collectif,focus,3
202,373,collectif,include,7
203,374,collectif,offer,2
204,375,collectif,reveal,2
205,192,come,cameroon,2
206,193,come,group,2
207,129,come,need,1
208,194,come,region,1
209,195,come,village,1
210,678,commission,engrave,1
