,src,dst,index
0,ambazonia,send,4
1,ambazonia,stop,1
2,send,ambazonian,2
3,send,love,1
4,send,video,1
5,stop,video,1
6,autorite,enlevement,1
7,broadcast,enlevement,3
8,broadcast,onlyontheafricaneye,1
9,pourquoi,autorite,1
10,pourquoi,broadcast,3
11,pourquoi,sylvain,1
12,sylvain,panelist,1
13,tebong,broadcast,1
14,ahidjo,leave,1
15,ahidjo,say,1
16,biya,leave,1
17,biya,say,1
18,god,say,1
19,leave,power,2
20,say,ambazonia,1
21,say,merit,2
22,cameroun,say,2
23,cameroun,tell,1
24,facebook,indication,1
25,mbororos,facebook,1
26,mbororos,say,1
27,mbororos,tell,1
28,say,account,1
29,say,ambazonian,2
30,tell,indication,2
31,autres,invite,1
32,invite,parlement,1
33,bachir,die,1
34,bachir,enter,1
35,bachir,say,4
36,die,e,1
37,enter,ground,1
38,say,e,3
39,say,vaccine,1
40,come,equinoxetvofficial,1
41,come,population,1
42,dey,turn,1
43,make,population,1
44,matazem,come,1
45,matazem,make,1
46,ngute,come,1
47,turn,population,1
48,cfa,hope,2
49,cfa,kumkumise,3
50,hope,adf,1
51,hope,bamenda,1
52,hope,explosive,1
53,kumkumise,adf,2
54,kumkumise,bamenda,2
55,kumkumise,explosive,1
56,luma,hope,1
57,luma,kumkumise,2
58,du,maurice,1
59,du,pay,1
60,du,premiere,1
61,du,recente,1
62,entre,pay,1
63,entre,premiere,1
64,entre,recente,3
65,entre,sagit,3
66,entre,satisfaire,3
67,ete,recente,2
68,il,pay,1
69,il,premiere,1
70,il,sagit,3
71,maurice,plombent,1
72,notre,pay,1
73,notre,sagit,1
74,par,recente,1
75,pay,consiste,4
76,premiere,consiste,3
77,recente,consiste,6
78,recente,echeance,1
79,sagit,consiste,4
80,sagit,emissarisation,1
81,sagit,meme,2
82,satisfaire,consiste,2
83,satisfaire,meme,1
84,beti,happen,3
85,continue,people,1
86,happen,marauder,3
87,happen,people,6
88,la,happen,2
89,overt,continue,1
90,overt,happen,4
91,declare,schooling,3
92,ig,send,1
93,igs,declare,3
94,igs,remain,1
95,remain,schooling,1
96,send,schooling,1
97,deux,fusillade,2
98,fusillade,separatiste,3
99,separatistes,fusillade,1
100,qui,restent,1
101,restent,muet,1
102,daily,dose,2
103,dose,roundup,2
104,die,age,2
105,go,age,1
106,see,equinoxetvofficial,1
107,tumi,die,2
108,tumi,go,1
109,tumi,see,1
110,ouest,separatiste,1
111,recu,nouvelle,1
112,recu,separatiste,1
113,sud,ouest,1
114,sud,recu,2
115,abduct,destination,1
116,abduct,fighter,2
117,abduct,yaounde,1
118,cna,abduct,4
119,cna,kidnap,1
120,cna,return,1
121,kidnap,destination,1
122,return,yaounde,1
123,flee,member,1
124,god,pledge,2
125,nov,pledge,1
126,pledge,homeland,1
127,pledge,member,3
128,scawol,flee,1
129,scawol,pledge,1
130,scawol,see,2
131,see,homeland,1
132,see,member,1
133,biya,continue,1
134,biya,tell,1
135,biya,want,2
136,continue,cameroon,1
137,fella,tell,4
138,fella,want,2
139,tell,ambazonian,2
140,tell,cameroon,1
141,tell,cleansing,2
142,want,ambazonian,1
143,want,cameroon,1
144,want,cleansing,2
145,lelite,kidnapping,1
146,selon,lelite,1
147,cameroun,crumble,1
148,cameroun,lose,2
149,cameroun,see,1
150,crumble,territory,1
151,lose,footage,1
152,lose,war,1
153,see,footage,1
154,kill,boy,3
155,kill,family,2
156,la,say,1
157,lrc,kill,1
158,lrc,target,1
159,report,kill,4
160,say,family,1
161,target,boy,1
162,clan,kill,1
163,clan,understand,1
164,kill,ambazonia,1
165,understand,cameroonian,1
166,double,gunman,1
167,go,division,2
168,go,rite,2
169,kidnap,division,2
170,ndop,go,2
171,village,double,1
172,village,kidnap,1
173,yakum,go,2
174,yakum,kidnap,1
175,ikom,see,2
176,see,vehicle,2
177,begin,trial,1
178,coast,begin,1
179,coast,tell,3
180,sankara,coup,1
181,sankara,death,1
182,sankara,sankara,4
183,sankara,trial,2
184,tell,coup,2
185,tell,trial,1
186,alemazung,become,1
187,become,cameroon,1
188,end,corpse,1
189,end,regime,1
190,niat,frenchcameroun,1
191,see,frenchcameroun,2
192,see,regime,1
193,wonna,end,2
194,wonna,niat,1
195,wonna,see,3
196,apre,et,6
197,apre,tre,1
198,artiste,et,3
199,artiste,tre,1
200,ce,apre,1
201,endroit,evite,1
202,evite,et,2
203,evite,tre,1
204,ont,apre,1
205,ont,artiste,1
206,un,apre,3
207,un,artiste,2
208,une,apre,2
209,une,artiste,1
210,une,evite,2
211,abc,live,1
212,abc,struggle,1
213,live,tv,1
214,struggle,projection,1
215,assume,account,2
216,assume,force,1
217,launch,infighting,1
218,linkp8vlw7k,assume,3
219,linkp8vlw7k,launch,1
220,linkp8vlw7k,take,4
221,take,account,2
222,take,force,1
223,take,infighting,1
224,afcon,declare,1
225,afcon,promise,1
226,afcon,say,2
227,council,declare,3
228,council,say,6
229,declare,competition,1
230,declare,grata,3
231,declare,individual,1
232,declare,plan,1
233,declare,war,2
234,promise,competition,1
235,promise,plan,1
236,sako,declare,4
237,sako,promise,1
238,sako,say,2
239,say,individual,1
240,say,plan,7
241,say,war,2
242,dey,happen,1
243,enter,road,1
244,go,pipo,1
245,happen,ear,2
246,happen,pipo,4
247,pipo,enter,1
248,pipo,go,1
249,pipo,happen,3
250,tok,happen,1
251,uniform,happen,1
252,mebenga,trouve,1
253,trouve,anglophone,1
254,cause,region,2
255,council,cause,2
256,council,operate,2
257,council,take,2
258,name,take,1
259,operate,bamenda,2
260,take,bamenda,2
261,take,locality,1
262,aura,sympathisant,1
263,du,le,2
264,incarne,le,2
265,incarne,majeste,2
266,incarne,sympathisant,1
267,le,condoleance,1
268,le,militant,1
269,le,prie,4
270,majeste,condoleance,1
271,majeste,militant,2
272,mon,sympathisant,2
273,sans,le,1
274,sans,sympathisant,3
275,son,le,1
276,son,majeste,1
277,son,sympathisant,3
278,sympathisant,condoleance,2
279,sympathisant,culturel,1
280,sympathisant,militant,4
281,sympathisant,prie,2
282,sympathisant,solution,1
283,camerounaise,le,1
284,le,inform,1
285,le,region,1
286,separatiste,embuscade,1
287,separatiste,inform,1
288,sur,inform,2
289,un,le,1
290,un,separatiste,2
291,un,sur,2
292,cameroun,le,1
293,le,anglophone,1
294,artist,focus,3
295,artist,leave,1
296,artist,start,2
297,focus,artist,3
298,focus,cameroon,1
299,focus,record,1
300,grow,artist,1
301,grow,ghetto,1
302,grow,nsohburinka,1
303,hiro,focus,1
304,hiro,grow,2
305,leave,artist,3
306,leave,cameroon,1
307,leave,nsohburinka,1
308,leo,focus,1
309,leo,grow,1
310,leo,leave,4
311,start,artist,2
312,abolish,leader,1
313,abolish,people,1
314,cameroon,destroy,1
315,cameroon,tell,4
316,destroy,chief,1
317,federation,abolish,2
318,tell,declaration,1
319,tell,leader,1
320,tell,people,3
321,tell,powerless,1
322,union,tell,2
323,celebrate,dictate,1
324,october,celebrate,1
325,october,resist,1
326,october,want,1
327,resist,people,1
328,want,people,1
329,collaborate,military,1
330,collaborate,study,1
331,kill,military,1
332,mumah,collaborate,2
333,mumah,kill,1
334,mumah,remain,1
335,remain,study,1
336,attend,meeting,4
337,dfat,attend,4
338,council,insist,3
339,council,make,1
340,insist,belief,3
341,make,measure,1
342,anglophone,deplace,1
343,deplace,personnel,1
344,allow,period,4
345,allow,soldier,1
346,communities,allow,4
347,december,allow,1
348,davoir,vendu,2
349,lucas,davoir,2
350,biya,chronique,1
351,ce,enregistre,1
352,ce,et,2
353,chronique,enregistre,4
354,chronique,et,1
355,chronique,fin,1
356,chronique,generation,1
357,dans,ce,1
358,dans,direct,1
359,dans,donc,2
360,delai,enregistre,1
361,direct,enregistre,1
362,direct,et,2
363,direct,generation,1
364,direct,philosophie,2
365,direct,semil,2
366,donc,enregistre,2
367,donc,et,5
368,faire,enregistre,1
369,faire,et,1
370,faire,philosophie,1
371,faits,faire,2
372,fridolin,chronique,4
373,fridolin,delai,1
374,fridolin,direct,5
375,fridolin,donc,3
376,fridolin,faire,1
377,nke,ce,2
378,nke,chronique,2
379,nke,direct,1
380,pour,direct,1
381,pour,donc,2
382,njawe,read,3
383,read,mimimefoinfos,1
384,read,njawe,4
385,read,regime,1
386,tribute,read,3
387,des,une,1
388,journaux,une,1
389,une,lira,1
390,une,parue,2
391,vous,une,1
392,fec,make,3
393,make,emphasis,6
394,make,vaccine,2
395,nde,emphasis,1
396,series,make,2
397,tv,make,3
398,tv,nde,1
399,beg,need,1
400,beg,say,1
401,beg,stop,1
402,need,deliverance,1
403,say,deliverance,1
404,say,equinoxetvofficial,1
405,stop,deliverance,1
406,tori,say,1
407,response,tell,2
408,sit,tell,1
409,tell,doubt,2
410,tell,mmi,1
411,assomo,differente,2
412,differente,charge,1
