,src,dst,index
0,declare,internationale,1
1,politique,declare,1
2,pre,militaire,1
3,situe,pre,1
4,cest,comprend,1
5,cest,lobscurite,1
6,comprend,information,4
7,comprend,son,1
8,comprend,traver,2
9,dans,comprend,2
10,depend,information,1
11,depend,traver,1
12,lobscurite,traver,1
13,qui,comprend,4
14,qui,depend,2
15,lhebdomadaire,pour,1
16,liberation,lhebdomadaire,1
17,liberation,prochain,1
18,prochain,membre,1
19,apa,ask,3
20,apa,follow,1
21,ask,foreigner,2
22,ask,source,1
23,follow,source,1
24,announce,event,5
25,announce,meeting,1
26,announce,release,2
27,announce,unity,1
28,nintcheu,announce,4
29,nintcheu,notify,2
30,notify,authority,1
31,notify,event,2
32,party,announce,3
33,party,notify,1
34,state,event,1
35,tchakui,announce,2
36,tchakui,state,1
37,dans,disperse,4
38,dans,donc,1
39,dans,plusieur,1
40,dans,rest,1
41,disperse,greviste,4
42,disperse,lorigine,2
43,disperse,organisation,3
44,disperse,toujour,4
45,donc,greviste,1
46,donc,lorigine,2
47,donc,organisation,1
48,donc,toujour,2
49,donc,unilateralement,1
50,il,disperse,1
51,il,donc,2
52,nationale,preserver,2
53,ont,disperse,2
54,ont,donc,2
55,ont,toute,1
56,ou,disperse,5
57,ou,donc,1
58,ou,plusieur,1
59,ou,preserver,1
60,ou,rest,1
61,par,disperse,1
62,par,donc,1
63,plusieur,organisation,1
64,plusieur,toujour,1
65,preserver,organisation,1
66,preserver,toujour,1
67,preserver,unilateralement,1
68,rest,lorigine,1
69,rest,unilateralement,1
70,toute,lorigine,1
71,affrontement,son,3
72,affrontement,structure,1
73,affrontement,violence,8
74,complexe,son,2
75,complexe,structure,1
76,complexe,violence,5
77,confin,son,1
78,confin,violence,3
79,confin,voisin,2
80,congo,affrontement,1
81,congo,rdc,3
82,couler,complexe,2
83,couler,rdc,1
84,des,affrontement,3
85,des,complexe,3
86,des,confin,2
87,des,pay,1
88,des,rdc,1
89,et,affrontement,7
90,et,complexe,2
91,et,confin,3
92,et,pay,2
93,et,rdc,2
94,les,affrontement,1
95,les,complexe,1
96,les,confin,1
97,pay,son,1
98,pay,voisin,2
99,rdc,crane,1
100,rdc,mar,1
101,rdc,son,2
102,rdc,violence,3
103,sing,structure,1
104,vie,sing,1
105,httpe,kwat,2
106,kwat,buea,2
107,cameroon,anglophone,1
108,cameroon,info,1
109,cameroon,personne,1
110,cameroon,region,2
111,cameroon,secretaire,1
112,comite,anglophone,2
113,comite,info,1
114,comite,personne,2
115,comite,rdpc,1
116,comite,region,3
117,comite,secretaire,2
118,dans,cameroon,4
119,dans,comite,7
120,dans,perpetre,5
121,du,comite,1
122,du,le,1
123,le,personne,1
124,nord,cameroon,2
125,nord,comite,1
126,perpetre,anglophone,1
127,perpetre,personne,3
128,perpetre,rdpc,1
129,yaounde,comite,2
130,comusappactu,take,2
131,take,responsibility,2
132,argue,claim,2
133,cameroons,come,2
134,cameroons,define,3
135,cameroons,raise,1
136,come,cameroon,1
137,come,claim,2
138,come,system,3
139,come,utterance,1
140,define,cameroon,1
141,define,claim,1
142,define,nation,3
143,define,system,3
144,hos,argue,2
145,hos,come,5
146,hos,define,5
147,hos,raise,2
148,jawaharlal,nehru,1
149,nehru,utterance,1
150,raise,cameroon,1
151,raise,claim,2
152,libii,propose,1
153,propose,anglophone,1
154,africa,eode,5
155,africa,facebook,1
156,eode,media,4
157,eode,octobre,1
158,facebook,media,1
159,ailleur,population,1
160,dans,ailleur,1
161,la,libere,1
162,la,lundi,1
163,libere,rse,1
164,lundi,epargne,1
165,france,label,1
166,france,say,2
167,france,side,3
168,go,announce,2
169,label,cameroon,1
170,label,country,1
171,label,court,1
172,merica,go,1
173,merica,label,1
174,merica,say,2
175,merica,side,4
176,merica,want,1
177,say,announce,3
178,say,cameroon,1
179,say,country,1
180,say,court,1
181,say,individual,2
182,say,senator,1
183,side,announce,1
184,side,cameroon,6
185,side,country,1
186,side,individual,1
187,usa,go,1
188,usa,label,1
189,usa,say,5
190,usa,side,2
191,usa,want,1
192,want,cameroon,2
193,cameroun,vivent,2
194,entre,cameroun,1
195,et,cameroun,1
196,come,areinstruction,3
197,come,iq,1
198,come,nation,2
199,come,people,4
200,elementsbeast,come,2
201,elementsbeast,end,2
202,elementsbeast,learn,1
203,elementsbeast,mean,2
204,end,iq,1
205,end,soldier,1
206,joseph,come,2
207,joseph,mean,1
208,learn,people,2
209,learn,soldier,1
210,mean,areinstruction,1
211,mean,iq,1
212,mean,nation,1
213,mean,people,1
214,nations,come,6
215,nations,learn,2
216,nations,mean,1
217,need,building,1
218,need,httpbit,1
219,need,pondiarticleeducation,2
220,orgwp,need,3
221,urgent,need,1
222,accept,crisis,1
223,address,crisis,1
224,president,accept,1
225,president,address,1
226,president,speak,1
227,speak,crisis,1
228,bless,support,1
229,god,bless,1
230,god,maintain,1
231,god,need,1
232,maintain,teacher,1
233,need,struggle,1
234,ce,cet,1
235,cet,criminel,1
236,cet,lachete,4
237,cet,sentiment,3
238,contre,cet,3
239,contre,monstre,1
240,et,cet,4
241,monstre,sentiment,1
242,deposent,provisoire,2
243,provisoire,refugie,2
244,camerounid1200966832mt8,genocide,1
245,camerounid1200966832mt8,goo,1
246,comusappactu,camerounid1200966832mt8,1
247,contre,camerounid1200966832mt8,1
248,actualite,au,1
249,actualite,cavaye,1
250,au,coupe,2
251,cavaye,coupe,1
252,par,au,1
253,che,ellow,1
254,che,keep,1
255,ellow,determination,1
256,front,keep,5
257,front,ordain,1
258,front,shout,1
259,keep,determination,2
260,keep,fraudster,1
261,keep,friend,1
262,keep,people,1
263,keep,skin,1
264,notlatetorepent,ordain,1
265,notlatetorepent,shout,1
266,ordain,determination,1
267,ordain,people,1
268,shout,fraudster,1
269,shout,people,1
270,dans,judiciaire,1
271,dans,oppose,2
272,dans,responsabilite,1
273,du,responsabilite,1
274,ete,monde,1
275,judiciaire,congolaise,3
276,le,expert,1
277,le,meurtriere,1
278,les,le,1
279,les,oppose,2
280,les,responsabilite,3
281,ont,le,1
282,ont,oppose,2
283,ont,responsabilite,1
284,oppose,congolaise,2
285,oppose,meurtriere,2
286,oppose,monde,2
287,oppose,refusaient,2
288,par,responsabilite,2
289,pay,meurtriere,1
290,rendu,ete,1
291,rendu,judiciaire,2
292,rendu,oppose,2
293,rendu,pay,1
294,rendu,responsabilite,7
295,responsabilite,congolaise,3
296,responsabilite,expert,6
297,responsabilite,juin,3
298,responsabilite,monde,1
299,responsabilite,refusaient,2
300,declare,rdpc,1
301,tchi,declare,1
302,atam,provide,1
303,atam,send,1
304,provide,org,1
305,send,pressscacuf,1
306,camerounid1200966832mt8,goo,1
307,comusappactu,camerounid1200966832mt8,1
308,comusappactu,reelle,1
309,reelle,goo,1
310,compolitiquecrise,report,1
